項次,停車場名稱,緯度,經度,小汽車,機車,自行車
204,捷運蘆洲站機車停車場,25.09105,121.46642,0,901,0
205,捷運蘆洲站汽車停車場,25.09248,121.46454,54,0,0
206,捷運十四張站自行車停車區,24.98463,121.52803,0,0,10
207,捷運十四張站轉乘停車場,24.98528,121.52795,146,284,0
208,捷運秀朗橋站自行車停車區,24.99017,121.52499,0,0,32
209,捷運景平站自行車停車區,24.99167,121.51618,0,0,118
210,捷運中和站自行車停車區,25.0021,121.49656,0,0,64
211,捷運橋和站自行車停車區,25.00453,121.49055,0,0,60
212,捷運橋和站自行車停車區,25.00416,121.49075,0,0,50
213,捷運中原站自行車停車區,25.00839,121.48451,0,0,60
214,捷運中原站自行車停車區,25.0087,121.48373,0,0,42
215,捷運板新站機車轉乘停車場,25.0143,121.47252,0,167,0
216,捷運板新站自行車停車區,25.01439,121.47199,0,0,212
217,捷運板橋站自行車停車區,25.01582,121.46423,0,0,44
218,捷運新埔民生站自行車停車區,25.02622,121.46689,0,0,88
219,捷運幸福站自行車停車區,25.04967,121.46042,0,0,227
220,捷運新北產業園區站轉乘停車場,25.0606,121.45964,25,0,0
221,捷運新北產業園區站自行車停車區,25.06078,121.45952,0,0,91
222,捷運新莊站機車停車區,25.0361453,121.4525961,0,2,0
223,捷運辛亥站機車停車區,25.00552,121.55709,0,18,0
